symbol,ffmc
HDFCBANK,12443346805896.07
RELIANCE,8430042138154.0
ICICIBANK,7252268874899.4
INFY,5627297535940.64
LT,4127165163234.72
ITC,4060832291158.4
TCS,3965972602167.24
AXISBANK,3105215993169.0
KOTAKBANK,2719460179940.66
BHARTIARTL,2515254615615.6
SBIN,2487905144229.25
HINDUNILVR,2258852397052.82
BAJFINANCE,2043283176254.32
HCLTECH,1580773689549.76
M&M,1541239581372.05
TITAN,1502655757089.0
ASIANPAINT,1493418682750.45
NTPC,1449166753726.3
MARUTI,1368681252331.36
SUNPHARMA,1337749212523.5
TATAMOTORS,1289387436156.53
ULTRACEMCO,1159250208114.4
TATASTEEL,1108272536461.5
POWERGRID,1081446310261.86
INDUSINDBK,1023734416195.85
ADANIENT,987503171043.83
BAJAJFINSV,938737752904.81
NESTLEIND,870869169827.04
ADANIPORTS,861593019602.7
TECHM,816728897617.6
HINDALCO,812144051412.2
JSWSTEEL,803913645874.91
COALINDIA,796021129813.61
GRASIM,784107158274.44
ONGC,782707231359.7
HDFCLIFE,722621630976.0
BAJAJ-AUTO,710330492376.04
DRREDDY,682379544203.28
TRENT,659840183659.92
SBILIFE,655330085374.86
CIPLA,632435915897.31
WIPRO,628755120468.11
BEL,606576411898.66
DMART,604923086845.47
PFC,600130105259.52
BRITANNIA,581765221001.92
SHRIRAMFIN,576644039276.5
TATACONSUM,575053566291.75
LTIM,561851708218.94
APOLLOHOSP,559297872338.31
ZOMATO,555791262962.05
EICHERMOT,555764265000.0
ADANIGREEN,552684771898.98
RECLTD,537248793048.0
HAL,517203834000.0
VBL,514489130496.0
MAXHEALTH,508739267410.08
HEROMOTOCO,505414666360.5
CHOLAFIN,502155659308.8
DIVISLAB,472236747590.4
TVSMOTOR,469775640065.48
TATAPOWER,468462340306.58
IOC,454717997170.98
DLF,435902977839.6
BPCL,427603100897.28
ADANIPOWER,420406344569.0
BANKBARODA,417390984191.45
NAUKRI,404454759120.0
PIDILITIND,402817528080.0
GODREJCP,393429885190.51
GAIL,393046306459.25
COFORGE,391575468212.28
INDHOTEL,388277796688.44
SHREECEM,385075192660.69
AMBUJACEM,383507519529.06
YESBANK,383322063629.42
FEDERALBNK,381523023717.0
TIINDIA,381242535181.2
ICICIGI,371091756282.0
PERSISTENT,366156846000.0
AUBANK,363744472787.14
INDIGO,360546860358.5
SRF,354245747789.33
ADANIENSOL,350041603925.4
SIEMENS,348107549262.5
BAJAJHLDNG,344891909879.4
HAVELLS,332994294820.8
COLPAL,318748940010.52
DABUR,316157079279.2
TATAELXSI,315442623888.0
MCDOWELL-N,314215568496.0
UPL,307024796436.44
BHARATFORG,306520275877.2
VEDL,305703041095.36
HDFCAMC,304122901880.0
LUPIN,301628603425.0
CANBK,301045844668.14
IDFCFIRSTB,298371426702.32
CGPOWER,291928040724.35
AUROPHARMA,290152111667.93
ATGL,287284141305.64
APLAPOLLO,281821410085.82
MARICO,276342758908.8
PIIND,273396048636.0
PNB,270837949680.13
JINDALSTEL,265765592087.6
POLYCAB,263946327137.45
CUMMINSIND,262161622800.0
ABB,255611828489.06
ZEEL,255559638962.88
ASHOKLEY,251629043680.48
HINDPETRO,245699666095.73
KPITTECH,245528677320.96
MRF,244393965342.94
NYKAA,243009293756.45
ALKEM,242333624610.0
IRCTC,237728000000.0
CONCOR,236290441097.88
DIXON,234685330461.0
BHEL,233644710088.82
MOTHERSON,233379951845.04
GODREJPROP,233344627171.68
ASTRAL,231652112973.2
TATAMTRDVR,230285706511.52
SBICARD,229046744691.51
MFSL,228811093173.0
PAGEIND,227401836949.8
SONACOMS,226991099187.65
LODHA,224954762543.25
NMDC,222301106751.75
MPHASIS,220053058500.0
UNIONBANK,219074907053.44
JUBLFOOD,216231272040.0
TATACOMM,212433300000.0
POLICYBZR,210306780013.26
FORTIS,204227125927.15
BALKRISIND,203539803007.2
ICICIPRULI,202375944246.29
LICI,201008426937.78
VOLTAS,196803625657.2
TORNTPHARM,191898564480.0
BANDHANBNK,187255094852.27
DALBHARAT,186369829889.88
BOSCHLTD,186202197412.0
CROMPTON,185400427112.0
ACC,179071962230.54
JSWENERGY,178447309978.0
NHPC,176019144888.02
IRFC,173719650258.0
OBEROIRLTY,172318372159.04
M&MFIN,169969380034.56
PGHH,163989852931.52
ZYDUSLIFE,163597493965.88
BERGEPAINT,163385490597.12
LICHSGFIN,162763641700.0
MUTHOOTFIN,161582445464.05
SAIL,160976896825.55
PETRONET,160500009416.0
TATACHEM,159830267473.03
DEEPAKNTR,156851997150.0
PRESTIGE,156155657315.7
LAURUSLABS,151938343716.6
TORNTPOWER,151041033623.76
IPCALAB,150195434098.18
APOLLOTYRE,149373202095.42
COROMANDEL,145819002784.28
LTTS,144500153758.06
IGL,140175160200.0
PAYTM,134623679480.61
NAVINFLUOR,133087740951.2
RAMCOCEM,132191409067.2
